Period (hr)  , n   , m   , Binm_Re (nT)            , Binm_Im (nT)            
35.05714     , 1   , -1  , 2.978851442621018       , 3.4917329519539395      
35.05714     , 1   , 0   , -0.24383384865553742    , -1.1310487543982115     
35.05714     , 1   , 1   , -9.043811166585494      , -10.820100386422233     
35.05714     , 2   , -2  , -0.23053473520899162    , 0.11154531400189269     
35.05714     , 2   , -1  , -0.0703977982260695     , -0.11250167958666217    
35.05714     , 2   , 0   , -0.032115979368379434   , -0.11177454202760657    
35.05714     , 2   , 1   , 0.1635459441200216      , 0.1999265725943346      
35.05714     , 2   , 2   , 0.28156043654017077     , -0.20547550765265168    
35.05714     , 3   , -3  , -0.07377496564789199    , -0.004015022064663236   
35.05714     , 3   , -2  , 0.06919118984232751     , 0.003338544962986209    
35.05714     , 3   , -1  , 0.13008741727228565     , 0.1148010475106302      
35.05714     , 3   , 0   , -0.007646755243006941   , -0.06180016148092604    
35.05714     , 3   , 1   , -0.2914239693331582     , -0.35696382432420637    
35.05714     , 3   , 2   , -0.019186140900456033   , 0.046612938495053456    
35.05714     , 3   , 3   , 0.0073393086999988585   , 0.14127836577134328     
35.05714     , 4   , -4  , -0.027618075786545584   , 0.0032687112337427943   
35.05714     , 4   , -3  , -0.006068858707829565   , -0.007019771665261547   
35.05714     , 4   , -2  , -0.025729419098320938   , 0.011429561118596977    
35.05714     , 4   , -1  , -0.01266632751498604    , -0.05618342543861863    
35.05714     , 4   , 0   , 0.012099157619020843    , 0.002823947624712053    
35.05714     , 4   , 1   , 0.08413367784984471     , 0.08874331753756828     
35.05714     , 4   , 2   , 0.035515282900607244    , -0.06352744860817498    
35.05714     , 4   , 3   , 0.0252175268431425      , 0.020107731160477347    
35.05714     , 4   , 4   , 0.010601709884192269    , -0.10043449631865048    
35.05714     , 5   , -5  , 0.009086710309310913    , -0.020380938139813724   
35.05714     , 5   , -4  , 0.015881200115828043    , 0.012385059740803749    
35.05714     , 5   , -3  , -0.0016033812531757292  , 0.0078444545967902      
35.05714     , 5   , -2  , 0.02217646047369546     , -0.020964081723668614   
35.05714     , 5   , -1  , 0.0036450364517562213   , 0.0019012674191925894   
35.05714     , 5   , 0   , 0.006314908276513978    , 0.006704364088918023    
35.05714     , 5   , 1   , -0.008825013638355445   , -0.010543073028150352   
35.05714     , 5   , 2   , -0.015177013964994584   , 0.007346336997116764    
35.05714     , 5   , 3   , -0.0022046478955717423  , 0.012725435922620262    
35.05714     , 5   , 4   , -0.000617456663358144   , 0.030647003864950076    
35.05714     , 5   , 5   , -0.016628008185490862   , -1.352043790766067e-05  
35.05714     , 6   , -6  , 0.00041544851028832034  , -3.402242833693131e-06  
35.05714     , 6   , -5  , -0.005120799052529776   , -0.00630537002652903    
35.05714     , 6   , -4  , -0.007069208882812455   , -0.00228395035046948    
35.05714     , 6   , -3  , 0.011087578396416678    , -0.004319374234917051   
35.05714     , 6   , -2  , -0.0017043926913702717  , 0.000273093235512903    
35.05714     , 6   , -1  , 0.010493006094044572    , 0.006825677997578089    
35.05714     , 6   , 0   , 0.011738930826272358    , 0.008288759231603238    
35.05714     , 6   , 1   , 0.0030299516985537226   , 0.0012893655096961533   
35.05714     , 6   , 2   , 0.002317830373516751    , -0.02091457678456387    
35.05714     , 6   , 3   , 0.026896121263501094    , 0.008956659986921306    
35.05714     , 6   , 4   , 0.0006176359526202836   , -0.01763059392542164    
35.05714     , 6   , 5   , 0.0036202205429297927   , 0.016539220807133548    
35.05714     , 6   , 6   , 0.006817165937240889    , 0.0030677677357161034   
35.05714     , 7   , -7  , 0.0026275395753143755   , -0.009638507554389338   
35.05714     , 7   , -6  , 0.00665874538085949     , 0.00450990626203013     
35.05714     , 7   , -5  , 0.002337862867326214    , 0.004636470117058939    
35.05714     , 7   , -4  , 0.0065882714917380285   , 0.004650708439295442    
35.05714     , 7   , -3  , -0.004630075105337304   , -0.0016787344642824019  
35.05714     , 7   , -2  , 0.00046691951256375093  , -0.00665580284792966    
35.05714     , 7   , -1  , 0.006982368449829218    , 0.0011724274048945664   
35.05714     , 7   , 0   , 0.0006191401586817078   , 0.00015891895790536267  
35.05714     , 7   , 1   , -0.0033041990968099627  , -0.006492507469159385   
35.05714     , 7   , 2   , -0.003238594693717813   , 0.0030071302343843065   
35.05714     , 7   , 3   , -0.003919692876784252   , 0.013231497611190475    
35.05714     , 7   , 4   , -0.006591005975005085   , 0.015319458960088357    
35.05714     , 7   , 5   , -0.010056494871222258   , -0.0045873353523075725  
35.05714     , 7   , 6   , 0.003988455404650425    , 0.01285784936392245     
35.05714     , 7   , 7   , 0.022946012847204118    , -0.011136469343006583   
35.05714     , 8   , -8  , 0.00038568998279019323  , -0.0012898819391036647  
35.05714     , 8   , -7  , -0.0006358905798097722  , 0.0006409064878702503   
35.05714     , 8   , -6  , -0.0005302103518357309  , 0.0004866581637926837   
35.05714     , 8   , -5  , -0.0005095767038484567  , -0.0020690578848094987  
35.05714     , 8   , -4  , 0.001093979748764992    , 0.0002419582742483832   
35.05714     , 8   , -3  , 0.006610535482370213    , 7.62519237970077e-05    
35.05714     , 8   , -2  , -0.0018109308074047124  , 0.003437743680771166    
35.05714     , 8   , -1  , 0.00551482410441156     , 0.005379241487689239    
35.05714     , 8   , 0   , 0.0031246784525806814   , 0.0001930642549757377   
35.05714     , 8   , 1   , -0.001076500161288889   , -0.002392298037553222   
35.05714     , 8   , 2   , 0.004293373198862467    , -0.004393157894359936   
35.05714     , 8   , 3   , 0.008262857179191934    , 0.0003953312667872686   
35.05714     , 8   , 4   , -0.0022027814934058865  , 0.0005732939726737511   
35.05714     , 8   , 5   , 0.0018264982777047843   , 0.003838383977997915    
35.05714     , 8   , 6   , 0.0006514516019596576   , -0.0015972138418981344  
35.05714     , 8   , 7   , -0.0009694588362924325  , -9.61488338285408e-05   
35.05714     , 8   , 8   , -0.0040317627860254205  , 0.00047199145871568653  
35.05714     , 9   , -9  , -0.0004615559587916466  , -0.0008700488870590784  
35.05714     , 9   , -8  , -0.0002183454476765055  , 0.0006439511456844733   
35.05714     , 9   , -7  , 0.002204592698364124    , -0.0009462585495281143  
35.05714     , 9   , -6  , 0.002774572650219441    , 0.0019242244886816418   
35.05714     , 9   , -5  , -0.001278823493302182   , 0.0015097674887035565   
35.05714     , 9   , -4  , -0.0007429613381784904  , -0.0006534740359043822  
35.05714     , 9   , -3  , -0.0019126391591267262  , -0.0005352010750031185  
35.05714     , 9   , -2  , 0.002370990540599156    , -0.001738035998028074   
35.05714     , 9   , -1  , 0.0031015153498635236   , -0.0015976810920224163  
35.05714     , 9   , 0   , -0.00047399882308068575 , -0.00017538315652720055 
35.05714     , 9   , 1   , 0.0004342733318069817   , -0.001074390210864107   
35.05714     , 9   , 2   , -0.001525769261083869   , 0.0023887527443267383   
35.05714     , 9   , 3   , -0.0026427926264807632  , 0.004616153438786435    
35.05714     , 9   , 4   , -0.0034722927537748547  , 0.0008963052370261107   
