Period (hr)  , n   ,  m  , Binm_Re (nT)            , Binm_Im (nT)            
11.23301     , 1   , -1  , -69.44882945991266      , -50.9572722557745       
11.23301     , 1   , 0   , 1.0722256151009442      , -13.857111617586384     
11.23301     , 1   , 1   , 134.4778569892885       , 119.45732730041513      
