Period (hr)  , n   ,  m  , Binm_Re (nT)            , Binm_Im (nT)            
11.23301     , 1   , -1  , -62.821473397872126     , -72.39993916698765      
11.23301     , 1   , 0   , 4.575475338998863       , -14.774170422701767     
11.23301     , 1   , 1   , 116.52710038264321      , 162.74962275159973      
