period(hr),B0x(nT),B0y(nT),B0z(nT),Bex_Re(nT),Bex_Im(nT),Bey_Re(nT),Bey_Im(nT),Bez_Re(nT),Bez_Im(nT)
8.764286,0.0,0.0,0.0,-1.54999028699806,-0.878670550546385,0.691296777811513,-1.24417081001398,0.00284015251666148,-0.000883157887491005
11.556335,0.0,0.0,0.0,0.263869416234136,-0.351619321741074,0.0812639002669754,0.0940943810005511,0.922578964860698,-0.202228783869801
11.6857,0.0,0.0,0.0,-2.91729594381892,-5.57992224447363,4.16851636821212,-2.2333989153145,0.602897319920814,0.290827372265572
17.23907,0.0,0.0,0.0,2.51083690002257,3.37808778015743,-0.257559255315026,0.352211291231309,10.2311337077088,4.81458282306847
17.52857,0.0,0.0,0.0,1.92296840776409,-17.2765004570229,11.4382820209771,1.03458739385469,1.77421343833438,2.15760580432008
33.91796,0.0,0.0,0.0,4.67292831467931,13.3159978481893,5.59474950386389,-1.93215170673466,-1.19089792034731,-2.94332770255665
35.05714,0.0,0.0,0.0,207.561631320736,-200.097333582105,102.800283453,101.917144973215,-33.736581247751,9.34069651750386
1043.7847,0.0,0.0,0.0,1.06481357115683,3.3126828934343,1.98181220164758,-0.736758495456953,-0.228223839477828,0.984851240155334
